_step,eval_loss,train_loss,smoothed_loss,lr
2000,3.5110038349494785,,,
4000,3.4043038777297916,,,
6000,3.273960794898957,,,
8000,3.17942839899771,,,
10000,3.1425857643415904,,,
12000,3.15531418065515,,,
14000,3.129877082993807,,,
16000,3.1340265187011083,,,
18000,3.155307814537158,,,
20000,3.15,,,
0,,10.1357,10.1357,0.0
0,,10.1357,10.1357,0.0
1,,10.0186,10.0771,1e-06
1,,10.0186,10.0771,1e-06
2,,10.1768,10.1104,3e-06
2,,10.1768,10.1104,3e-06
3,,10.2061,10.1343,4e-06
3,,10.2061,10.1343,4e-06
4,,10.2109,10.1496,6e-06
4,,10.2109,10.1496,6e-06
5,,10.2002,10.158,7e-06
5,,10.2002,10.158,7e-06
6,,10.1797,10.1611,9e-06
6,,10.1797,10.1611,9e-06
7,,10.1758,10.163,1e-05
7,,10.1758,10.163,1e-05
8,,10.252,10.1729,1.2e-05
8,,10.252,10.1729,1.2e-05
9,,10.166,10.1722,1.3e-05
9,,10.166,10.1722,1.3e-05
10,,10.1494,10.1735,1.5e-05
10,,10.1494,10.1735,1.5e-05
11,,10.1172,10.1834,1.6e-05
11,,10.1172,10.1834,1.6e-05
12,,10.1133,10.1771,1.8e-05
12,,10.1133,10.1771,1.8e-05
13,,10.001,10.1565,1.9e-05
13,,10.001,10.1565,1.9e-05
14,,10.0586,10.1413,2.1e-05
14,,10.0586,10.1413,2.1e-05
15,,9.9473,10.116,2.2e-05
15,,9.9473,10.116,2.2e-05
16,,9.9111,10.0892,2.4e-05
16,,9.9111,10.0892,2.4e-05
17,,9.8936,10.0609,2.5e-05
17,,9.8936,10.0609,2.5e-05
18,,9.9941,10.0352,2.7e-05
18,,9.9941,10.0352,2.7e-05
19,,9.8232,10.0009,2.8e-05
19,,9.8232,10.0009,2.8e-05
20,,9.8525,9.9712,3e-05
20,,9.8525,9.9712,3e-05
21,,9.8311,9.9426,3.1e-05
21,,9.8311,9.9426,3.1e-05
22,,9.7021,9.9015,3.3e-05
22,,9.7021,9.9015,3.3e-05
23,,9.749,9.8763,3.4e-05
23,,9.749,9.8763,3.4e-05
24,,9.668,9.8372,3.6e-05
24,,9.668,9.8372,3.6e-05
25,,9.5693,9.7994,3.7e-05
25,,9.5693,9.7994,3.7e-05
26,,9.7031,9.7786,3.9e-05
26,,9.7031,9.7786,3.9e-05
27,,9.6777,9.757,4e-05
27,,9.6777,9.757,4e-05
28,,9.5332,9.7109,4.2e-05
28,,9.5332,9.7109,4.2e-05
29,,9.7217,9.7008,4.3e-05
29,,9.7217,9.7008,4.3e-05
30,,9.5713,9.6727,4.4e-05
30,,9.5713,9.6727,4.4e-05
31,,9.5518,9.6447,4.6e-05
31,,9.5518,9.6447,4.6e-05
32,,9.4932,9.6238,4.7e-05
32,,9.4932,9.6238,4.7e-05
33,,9.4805,9.597,4.9e-05
33,,9.4805,9.597,4.9e-05
34,,9.4775,9.5779,5e-05
34,,9.4775,9.5779,5e-05
35,,9.4033,9.5613,5.2e-05
35,,9.4033,9.5613,5.2e-05
36,,9.4111,9.5321,5.3e-05
36,,9.4111,9.5321,5.3e-05
